name,population,households,lad_trse_rank,lad_vul_rank,lad_disability_and_caring_rank,lad_childcare_young_people_rank,lad_low_income_poverty_rank,lad_acc_rank,lad_work_access_rank,lad_education_access_rank,lad_health_access_rank,lad_amenities_access_rank,lad_trse_10pct,lad_trse_30pct,ca_trse_rank,ca_vul_rank,ca_disability_and_caring_rank,ca_childcare_young_people_rank,ca_low_income_poverty_rank,ca_acc_rank,ca_work_access_rank,ca_education_access_rank,ca_health_access_rank,ca_amenities_access_rank,ca_trse_10pct,ca_trse_30pct,eng_trse_rank,eng_vul_rank,eng_disability_and_caring_rank,eng_childcare_young_people_rank,eng_low_income_poverty_rank,eng_acc_rank,eng_work_access_rank,eng_education_access_rank,eng_health_access_rank,eng_amenities_access_rank,eng_trse_10pct,eng_trse_30pct,high_risk_pop,feature_type
E00027271,242,101,3.8,4.34,12.62,23.74,8.55,17.37,27,11.67,28.77,11.67,TRUE,TRUE,4.23,3.07,10.02,13.14,8.19,11.04,17.77,16.32,40.01,6.2,TRUE,TRUE,13.05,0.98,7.34,6.65,4.63,42.32,31.85,40.35,66.83,31.43,FALSE,TRUE,242,output_area
E00027272,316,119,3.12,2.31,17.5,4.75,8.14,14.38,23.07,8.41,24.83,10.99,TRUE,TRUE,3.44,1.63,13.36,2.2,7.71,9.4,13.08,10.92,35.39,5.55,TRUE,TRUE,11.37,0.5,9.36,0.88,4.31,40.17,27.8,36.47,63.56,30.15,FALSE,TRUE,316,output_area
E00027273,316,130,20.08,77.07,84.4,52.1,91.86,34.46,49.12,17.91,56.04,29.99,FALSE,TRUE,14.87,69.95,70.33,43.66,89.91,22.74,40.14,27.41,56.43,15.5,FALSE,TRUE,32.14,60.21,59.32,33.19,85.46,57.95,48.57,46.43,76.75,50.41,FALSE,FALSE,0,output_area
E00027274,350,151,17.91,62.42,83.04,43.15,62.28,34.6,49.39,18.32,54.68,29.85,FALSE,TRUE,13.05,50.95,68.7,31.66,60.05,22.75,40.24,28.15,55.82,15.49,FALSE,TRUE,29.26,38.19,57.37,21.62,50.9,57.95,48.63,46.78,76.41,50.39,FALSE,TRUE,0,output_area
E00027275,250,101,12.75,70.69,83.85,60.79,64.04,29.85,47.9,21.57,62.55,20.9,FALSE,TRUE,9.69,60.62,70.13,53.37,62.78,18.7,38.92,32.96,59.46,12.26,TRUE,TRUE,23,49.37,59.13,42.55,54.12,52.69,47.7,48.9,78.42,40.38,FALSE,TRUE,0,output_area
E00027276,276,121,21.98,78.83,81.95,66.35,84.94,26.19,38.94,17.23,47.69,18.32,FALSE,TRUE,17.22,71.86,67.15,60.74,82.57,16.66,28.59,25.79,52.96,11.7,FALSE,TRUE,35.26,62.53,55.53,49.73,77.1,50.02,40.35,45.63,74.72,38.68,FALSE,FALSE,0,output_area
E00027277,273,114,5.97,54.14,26.87,51.56,64.18,20.9,40.71,17.77,49.66,12.62,TRUE,TRUE,5.58,41.03,21.3,43.15,63.41,13.18,30.35,27.34,53.55,7.08,TRUE,TRUE,15.66,27.32,14.74,32.71,54.81,45.37,41.66,46.39,75.09,32.64,FALSE,TRUE,273,output_area
E00027278,291,114,10.45,69.06,60.65,74.63,66.21,27,41.38,22.39,52.78,18.18,FALSE,TRUE,8.52,58.36,47.36,68.28,65.49,17.23,31.37,33.85,55.2,11.68,TRUE,TRUE,21.06,46.62,34.87,57.79,57.14,50.92,42.38,49.31,75.96,38.55,FALSE,TRUE,0,output_area
E00027279,265,108,4.75,51.7,43.69,45.05,59.97,19.4,33.79,16.01,44.64,12.35,TRUE,TRUE,5.13,38.58,34.72,34.65,56.65,12.55,24.09,23.86,51.33,6.71,TRUE,TRUE,14.69,24.93,24.2,24.45,47.1,44.27,36.84,44.64,73.82,32.07,FALSE,TRUE,265,output_area
E00027280,228,112,5.16,53.73,10.04,76.53,50.75,20.08,34.87,21.03,52.65,11.8,TRUE,TRUE,5.26,40.45,7.87,70.21,45.55,12.75,24.83,31.35,55.19,6.25,TRUE,TRUE,14.93,26.75,5.95,60.1,34.62,44.56,37.37,48.27,75.96,31.53,FALSE,TRUE,228,output_area
E00027281,303,145,35.82,86.43,86.3,73.13,89.55,27.54,38.53,24.15,43.42,18.72,FALSE,FALSE,31.85,80.21,72.47,67.2,87.07,17.37,28.34,35.1,50.42,11.77,FALSE,FALSE,50.26,72.67,61.99,56.64,82.03,51.09,40.16,49.98,73.35,39.05,FALSE,FALSE,0,output_area
E00027282,620,251,14.38,51.15,75.17,25.24,54.14,31.48,47.76,35.82,38.94,19.67,FALSE,TRUE,10.83,38.37,60.61,13.99,50.33,20.08,38.91,42.96,47.62,11.93,FALSE,TRUE,25.13,24.69,48.07,7.31,39.77,54.55,47.7,56.17,71.6,39.58,FALSE,TRUE,0,output_area
E00027283,284,128,13.84,63.77,89.28,45.86,57.67,31.07,38.4,33.51,45.32,19.81,FALSE,TRUE,10.47,52.89,76.42,35.29,53.44,19.65,28.18,42.07,51.56,11.97,FALSE,TRUE,24.36,40.23,66.89,25.14,42.86,53.9,40.02,55.4,73.95,39.63,FALSE,TRUE,0,output_area
E00027285,343,191,17.37,56.99,30.8,89.28,32.29,34.19,43.96,54.55,46.4,21.3,FALSE,TRUE,12.94,44.09,24.6,83.58,28.43,22.6,34.94,50.79,51.99,12.3,FALSE,TRUE,29.1,30.6,16.78,75.86,17.98,57.83,44.93,62.36,74.22,40.43,FALSE,TRUE,0,output_area
E00027286,240,123,25.1,80.87,59.02,94.44,76.8,22.12,31.61,20.9,21.3,17.77,FALSE,TRUE,20.51,74.17,46.38,89.17,75.74,13.64,22.03,31.34,31.61,11.58,FALSE,TRUE,39.35,65.48,34.1,84.29,69.37,45.84,35.31,48.27,57.88,38.16,FALSE,FALSE,0,output_area
E00027287,276,128,5.02,1.49,7.46,21.17,6.11,19.95,21.17,20.76,25.92,13.98,TRUE,TRUE,5.24,1.29,6.09,11.41,5.67,12.74,9.52,31.28,36.56,9.3,TRUE,TRUE,14.9,0.38,4.65,5.54,3.32,44.53,24.31,48.26,64.57,34.84,FALSE,TRUE,276,output_area
E00027288,300,139,9.23,68.52,69.06,55.9,77.88,25.78,29.85,21.3,39.21,17.37,TRUE,TRUE,7.46,57.77,54.62,47.09,76.44,16.04,20.31,31.97,47.8,11.5,TRUE,TRUE,19.28,46.05,41.77,36.59,70.14,49.19,33.99,48.51,71.74,37.97,FALSE,TRUE,300,output_area
E00027289,291,123,29.44,83.04,84.53,67.98,89.69,4.48,5.7,22.66,5.97,8.01,FALSE,TRUE,24.85,76.87,70.49,62.17,87.35,1.19,0.88,34.15,13.34,4.22,FALSE,TRUE,43.87,68.57,59.51,51.4,82.46,21.85,8.24,49.54,42.55,27.93,FALSE,FALSE,0,output_area
E00027290,338,169,23.34,10.18,11.4,37.86,6.65,38.67,14.25,93.76,19.13,46,FALSE,TRUE,19.27,7.23,8.83,26.15,6.29,29.69,4.45,89.04,28.52,30.84,FALSE,TRUE,37.91,2.5,6.54,16.94,3.67,64.46,16.08,86.81,56.05,69.84,FALSE,FALSE,0,output_area
E00027291,314,124,58.14,92.94,98.64,68.93,84.26,3.8,5.16,20.35,2.71,5.56,FALSE,FALSE,58.24,88.69,93.08,62.71,82.17,0.9,0.78,30.27,7.86,3.28,FALSE,FALSE,67.43,82.89,90.58,51.93,76.67,20.33,8.02,47.83,36.92,26.67,FALSE,FALSE,0,output_area
E00027292,326,129,0.14,38.4,36.64,42.2,43.01,1.76,1.63,1.22,4.88,5.97,TRUE,TRUE,0.01,27.75,29.32,30.02,38.48,0.39,0.4,0.66,11.54,3.47,TRUE,TRUE,0.6,14.82,20.13,20.17,27.21,14.91,6.38,11.74,40.86,27,TRUE,TRUE,326,output_area
E00027293,306,133,36.23,75.31,61.47,79.1,82.63,48.03,16.01,70.15,56.31,49.53,FALSE,FALSE,32.24,68.1,47.86,72.82,80.92,42.75,5.41,68.95,56.56,35.65,FALSE,FALSE,50.52,57.97,35.3,63.08,75.25,72.83,18.02,77.47,76.81,72.96,FALSE,FALSE,0,output_area
E00027294,314,129,16.42,74.49,68.52,66.49,88.06,21.71,16.69,33.79,15.88,29.44,FALSE,TRUE,12.31,67.13,54.17,60.83,85.32,13.54,5.57,42.22,23.68,15.37,FALSE,TRUE,27.82,56.81,41.33,49.79,80.16,45.74,18.24,55.48,51.55,50.07,FALSE,TRUE,0,output_area
E00027295,297,132,31.61,50.75,50.2,50.2,50.61,45.18,46.81,37.45,30.66,42.2,FALSE,FALSE,26.41,38,40.14,41.11,45.28,36.93,38,43.4,41.9,25.34,FALSE,TRUE,45.34,24.21,28.7,30.79,34.38,69.52,47.04,56.76,68.07,65.69,FALSE,FALSE,0,output_area
E00027296,311,134,55.36,92.4,87.38,91.18,82.77,48.17,55.77,41.93,37.11,44.78,FALSE,FALSE,55.22,87.75,73.34,86.01,80.94,42.84,48.06,45.43,46.66,29.33,FALSE,FALSE,65.69,81.9,62.83,79.18,75.29,72.88,53.86,58.51,71.11,68.77,FALSE,FALSE,0,output_area
