name,population,households,lad_trse_rank,lad_vul_rank,lad_disability_and_caring_rank,lad_childcare_young_people_rank,lad_low_income_poverty_rank,lad_acc_rank,lad_work_access_rank,lad_education_access_rank,lad_health_access_rank,lad_amenities_access_rank,lad_trse_10pct,lad_trse_30pct,ca_trse_rank,ca_vul_rank,ca_disability_and_caring_rank,ca_childcare_young_people_rank,ca_low_income_poverty_rank,ca_acc_rank,ca_work_access_rank,ca_education_access_rank,ca_health_access_rank,ca_amenities_access_rank,ca_trse_10pct,ca_trse_30pct,eng_trse_rank,eng_vul_rank,eng_disability_and_caring_rank,eng_childcare_young_people_rank,eng_low_income_poverty_rank,eng_acc_rank,eng_work_access_rank,eng_education_access_rank,eng_health_access_rank,eng_amenities_access_rank,eng_trse_10pct,eng_trse_30pct,high_risk_pop,feature_type
Chatham Street,,,94,12,30,14,9,95,95,76,94,99,FALSE,FALSE,86,43,62,41,34,88,94,61,66,93,FALSE,FALSE,89,23,49,25,17,94,93,80,87,94,FALSE,FALSE,,pt_point
Manley Close,,,38,92,98,76,93,3,5,3,5,3,FALSE,FALSE,46,91,89,78,96,7,7,3,23,10,FALSE,FALSE,71,86,83,62,91,43,29,34,61,41,FALSE,FALSE,,pt_point
Arkwright Street,,,90,19,29,21,14,92,85,92,87,93,FALSE,FALSE,82,7,18,7,10,85,72,86,75,80,FALSE,FALSE,88,2,14,2,4,93,76,91,90,92,FALSE,FALSE,,pt_point
Vernon Park,,,36,22,25,7,41,61,79,49,39,74,FALSE,FALSE,43,54,59,34,72,49,72,34,30,69,FALSE,FALSE,69,34,44,18,56,81,76,61,68,91,FALSE,FALSE,,pt_point
Lumn Road,,,17,56,71,40,49,26,89,12,23,33,FALSE,TRUE,15,43,47,38,48,24,82,12,21,32,FALSE,TRUE,33,23,33,22,31,65,83,48,60,77,FALSE,FALSE,,pt_point
Harrow Road,,,64,0,1,0,0,74,60,69,80,65,FALSE,FALSE,37,3,0,9,10,48,50,37,79,34,FALSE,FALSE,63,1,2,3,3,81,63,63,92,79,FALSE,FALSE,,pt_point
Radcliffe Road,,,11,43,47,43,46,33,57,29,48,25,FALSE,TRUE,13,31,30,25,42,24,46,36,51,15,FALSE,TRUE,30,14,21,12,25,65,61,63,80,52,FALSE,FALSE,,pt_point
Broughton Lane,,,47,27,50,38,6,49,37,46,32,69,FALSE,FALSE,72,31,56,45,7,76,59,69,34,94,FALSE,FALSE,85,14,41,29,2,91,68,84,70,94,FALSE,FALSE,,pt_point
Belmont Street,,,92,7,13,22,4,92,97,98,88,81,FALSE,FALSE,83,2,9,7,1,84,89,92,75,72,FALSE,FALSE,89,1,9,2,0,93,89,92,90,91,FALSE,FALSE,,pt_point
Lavender Road,,,82,24,32,12,35,84,67,86,73,95,FALSE,FALSE,88,19,28,11,32,89,51,78,91,86,FALSE,FALSE,90,7,20,4,16,94,64,88,96,93,FALSE,FALSE,,pt_point
Salford Central Station,,,98,99,99,99,59,99,90,96,82,99,FALSE,FALSE,98,97,98,98,39,98,92,98,73,98,FALSE,FALSE,95,94,97,97,22,96,91,96,90,95,FALSE,FALSE,,pt_point
Oxford Road,,,91,88,90,91,64,95,87,99,91,94,FALSE,FALSE,98,95,98,98,30,99,91,100,95,99,FALSE,FALSE,96,92,97,97,14,97,91,97,97,96,FALSE,FALSE,,pt_point
Navigation,,,31,60,54,72,66,18,72,53,31,9,FALSE,FALSE,36,81,77,82,85,21,66,36,24,16,FALSE,FALSE,62,71,64,67,77,62,72,62,62,54,FALSE,FALSE,,pt_point
Draycott Street,,,54,9,24,18,10,63,87,48,82,64,FALSE,FALSE,53,11,21,16,10,63,83,31,96,58,FALSE,FALSE,76,3,16,6,4,87,84,59,97,89,FALSE,FALSE,,pt_point
Blackley New Road,,,52,54,55,41,66,54,44,43,45,66,FALSE,FALSE,72,30,58,20,32,74,52,70,49,85,FALSE,FALSE,85,14,44,8,16,91,64,84,79,93,FALSE,FALSE,,pt_point
Finningley Road,,,14,39,11,53,58,16,25,38,16,8,FALSE,TRUE,31,20,9,27,26,44,36,66,20,54,FALSE,FALSE,57,7,10,13,12,79,54,83,58,88,FALSE,FALSE,,pt_point
Elm Bank,,,77,71,56,93,58,79,80,88,69,81,FALSE,FALSE,94,66,59,95,39,95,85,96,63,96,FALSE,FALSE,92,48,45,87,22,95,86,94,86,94,FALSE,FALSE,,pt_point
Lower Lime Road,,,52,35,10,34,35,54,46,37,43,57,FALSE,FALSE,43,17,6,14,25,46,35,40,47,42,FALSE,FALSE,68,6,8,4,11,80,53,66,77,84,FALSE,FALSE,,pt_point
Stafford Street,,,16,55,46,63,52,11,57,23,9,14,FALSE,TRUE,9,58,32,75,65,8,47,8,7,12,TRUE,TRUE,22,39,22,58,48,45,62,46,46,47,FALSE,TRUE,,pt_point
Brook Close,,,17,67,75,50,62,22,83,9,19,28,FALSE,TRUE,14,48,52,43,54,21,76,9,19,29,FALSE,TRUE,33,29,37,27,36,62,79,46,57,74,FALSE,FALSE,,pt_point
Flowery Field Rail Station,,,46,44,65,35,40,53,61,39,92,54,FALSE,FALSE,42,39,45,35,45,53,55,34,77,45,FALSE,FALSE,68,20,31,20,28,83,66,61,91,85,FALSE,FALSE,,pt_point
Lewis Road,,,57,26,45,19,33,62,55,41,93,73,FALSE,FALSE,49,31,33,27,42,60,52,37,79,63,FALSE,FALSE,74,14,23,13,24,86,64,63,92,90,FALSE,FALSE,,pt_point
Sandgate Road,,,64,44,68,30,41,70,62,68,53,71,FALSE,FALSE,62,61,76,37,60,68,55,48,87,57,FALSE,FALSE,81,42,63,21,43,89,66,71,94,89,FALSE,FALSE,,pt_point
Walkden Avenue East,,,96,78,84,92,63,96,84,99,81,96,FALSE,FALSE,81,77,71,89,77,80,79,95,80,54,FALSE,FALSE,88,64,58,76,64,92,81,94,92,88,FALSE,FALSE,,pt_point
